t,winds,SNII,tot_SNII,tot_winds,AGB,tot_AGB
89307936.05096461,1.0752380883478665e-12,0.0,0.13011751416290182,0.03344618057269082,5.550687555213018e-10,0.04623439151253784
90459632.5448212,1.0579837158526353e-12,0.0,0.13011751416290182,0.033447408984727076,5.487136789401119e-10,0.04687000269241269
91626181.0761629,1.0350855292563839e-12,0.0,0.13011751416290182,0.03344862981815402,5.424313627113202e-10,0.04750643951532232
92807773.17376404,9.29367127121145e-13,0.0,0.13011751416290182,0.03344979040902146,5.36220973789623e-10,0.04814370305375657
94004602.83631347,1.2349208067578481e-12,0.0,0.13011751416290182,0.03345108555102024,5.300816886668492e-10,0.04878179438159824
95216866.56426667,9.883752764069045e-13,0.0,0.13011751416290182,0.033452433161619305,5.240126932634906e-10,0.04942071457412494
96444763.39210847,1.0017426220146361e-12,0.0,0.13011751416290182,0.03345365499134656,5.180131828207442e-10,0.05006046470801139
97688494.92103012,1.033755515153118e-12,0.0,0.13011751416290182,0.03345492079795169,5.120823617931719e-10,0.05070104586133042
98948265.35203052,1.0594067085377196e-12,0.0,0.13011751416290182,0.03345623924989004,5.062194437443588e-10,0.051342459113555665
100224281.51944138,1.005022255374929e-12,0.0,0.13011751416290182,0.03345755637225725,5.004236512413616e-10,0.05198470554556281
101516752.924887,1.0298776116748482e-12,0.0,0.13011751416290182,0.033458871397202807,4.946942157524771e-10,0.052627786239631595
102825891.77168043,1.018005959287729e-12,0.0,0.13011751416290182,0.03346021187917104,4.890303775447082e-10,0.0532717022794473
104151912.99966562,9.41765983524957e-13,0.0,0.13011751416290182,0.03346151122877013,4.6078109748816363e-10,0.05390143736868606
105560953.10952845,9.153116907939726e-13,0.0,0.13011751416290182,0.03346281957723525,4.406773349827686e-10,0.054536532913048864
107035894.12785435,9.049884488010679e-13,0.0,0.13011751416290182,0.033464161994906025,4.350604484306816e-10,0.055182363702076014
108531443.6282326,8.859399707919412e-13,0.0,0.13011751416290182,0.03346550120595759,4.295151548835502e-10,0.05582887150786393
110047889.56084284,8.781120130026025e-13,0.0,0.13011751416290182,0.033466838750685464,4.2404054181429855e-10,0.056476057040120806
111585523.89922476,8.703442125407231e-13,0.0,0.13011751416290182,0.03346818299385124,4.186357083280541e-10,0.0571239210092997
113144642.69649048,8.558560082835447e-13,0.0,0.13011751416290182,0.03346952866945731,4.13299765011599e-10,0.05777246412659771
114725546.14232929,8.464509857489237e-13,0.0,0.13011751416290182,0.03347087426095368,4.0803183378892444e-10,0.05842168710395773
116328538.62080415,8.200976989137992e-13,0.0,0.13011751416290182,0.033472209993456944,4.0283104777600133e-10,0.05907159065406924
117953928.76895635,8.039070969324682e-13,0.0,0.13011751416290182,0.03347352981415481,3.976965511379109e-10,0.05972217549036855
119602029.5362307,7.759762803039359e-13,0.0,0.13011751416290182,0.03347483171765792,3.926274989482027e-10,0.06037344232703969
121273158.24473123,6.877380810446598e-13,0.0,0.13011751416290182,0.03347605474520307,3.87623057049865e-10,0.06102539187901563
122967636.65031688,8.929523189839964e-13,0.0,0.13011751416290182,0.03347739396807745,3.8268240191851433e-10,0.06167802486197896
124685791.00455013,7.275541986542406e-13,0.0,0.13011751416290182,0.03347878610824213,3.7780472052573326e-10,0.062331341992361906
126427952.1175164,7.420374586000998e-13,0.0,0.13011751416290182,0.03348006624096073,3.729892102067624e-10,0.06298534398734854
128194455.42151351,7.347749525519502e-13,0.0,0.13011751416290182,0.033481370637962575,3.6823507852681497e-10,0.06364003156487393
129985641.03563881,7.29720303527336e-13,0.0,0.13011751416290182,0.0334826822293799,3.635415431520919e-10,0.06429540544362616
131801853.83127338,7.331055151101209e-13,0.0,0.13011751416290182,0.033484010630864695,3.5890783172041264e-10,0.06495146634304698
133643443.49848142,7.22570613671837e-13,0.0,0.13011751416290182,0.033485351009923475,3.5433318171369924e-10,0.06560821498333161
135510764.61334255,7.229303217877162e-13,0.0,0.13011751416290182,0.033486700617132645,3.498168403336259e-10,0.06626565208543106
137404176.7062169,6.963838668886603e-13,0.0,0.13011751416290182,0.03348804429045686,3.452969256700994e-10,0.0669237204906685
139324237.1015348,6.755673757516789e-13,0.0,0.13011751416290182,0.033489361405079514,3.408176278576674e-10,0.06758241118110844
141271210.9106038,6.579991611219763e-13,0.0,0.13011751416290182,0.033490659614639484,3.363996941488495e-10,0.0682416733756057
143245392.52710137,6.458138371345044e-13,0.0,0.13011751416290182,0.03349194659646574,3.320390290103227e-10,0.06890148309511368
145247162.16404358,6.401688663634442e-13,0.0,0.13011751416290182,0.03349323371703049,3.2773489008375093e-10,0.06956184079435812
147276905.3477001,6.344716978572004e-13,0.0,0.13011751416290182,0.03349452731352891,3.2348654463412106e-10,0.07022274692844292
149335012.9918405,6.342987894880176e-13,0.0,0.13011751416290182,0.03349583294664824,3.192932694246056e-10,0.07088420195284964
151421881.4730231,6.334667297751269e-13,0.0,0.13011751416290182,0.033497155776600084,3.1515435059321887e-10,0.07154620632343789
153537912.70693588,6.22624480890645e-13,0.0,0.13011751416290182,0.03349848474071729,3.1106908353209816e-10,0.07220876049644653
155683514.22579852,6.083349940574884e-13,0.0,0.13011751416290182,0.033499805314976844,3.070367727664049e-10,0.07287186492849251
157859099.25685486,5.974147309669484e-13,0.0,0.13011751416290182,0.033501116920503324,3.030567318372859e-10,0.07353552007657276
160065086.80195323,5.787259777894144e-13,0.0,0.13011751416290182,0.033502414196380725,2.9912828318377456e-10,0.07419972639806342
162301901.71824482,5.397557834649401e-13,0.0,0.13011751416290182,0.033503665114724315,2.9525075802798815e-10,0.07486448435072021
164569974.80001032,5.885001966755738e-13,0.0,0.13011751416290182,0.03350494459823326,2.9142349626157763e-10,0.07552979439267972
166869742.86162302,5.121180524283596e-13,0.0,0.13011751416290182,0.033506210181581925,2.8764584633247654e-10,0.07619565698245816
169201648.82168138,5.159121241798429e-13,0.0,0.13011751416290182,0.0335074088164299,2.839171651351717e-10,0.07686207257895332
171566141.78830728,5.064216880748829e-13,0.0,0.13011751416290182,0.033508617466984206,2.8023681790015865e-10,0.07752904164144384
173963677.14564294,4.966058940502462e-13,0.0,0.13011751416290182,0.03350981986403047,2.7660417808608435e-10,0.07819656462958935
176394716.64155677,4.909069706253234e-13,0.0,0.13011751416290182,0.033511020205418844,2.730186272740244e-10,0.07886464200343205
178859728.4765677,4.796323047183458e-13,0.0,0.13011751416290182,0.033512216400818876,2.69479555060617e-10,0.07953327422339544
181359187.39402282,4.753177441002128e-13,0.0,0.13011751416290182,0.0335134098300265,2.659863589556077e-10,0.080202461750286
183893574.77152458,4.743652736384072e-13,0.0,0.13011751416290182,0.033514613262352895,2.6253844427857516e-10,0.08087220504529266
186463378.71364266,4.752494565833359e-13,0.0,0.13011751416290182,0.0335158334241915,2.527558178356835e-10,0.08153430765835869
189134950.43336993,4.774582541356419e-13,0.0,0.13011751416290182,0.033517106037680065,2.4272485343860445e-10,0.08219616373288262
191919529.86358774,4.763069707376941e-13,0.0,0.13011751416290182,0.033518433955193286,2.39435703895006e-10,0.08286747091788937
194745105.8551784,4.642216534005555e-13,0.0,0.13011751416290182,0.03351976272274317,2.361911254143105e-10,0.08353943079281577
197612281.98871356,4.4946713631873486e-13,0.0,0.13011751416290182,0.033521072576088856,2.32990514016796e-10,0.08421204399225066
200521670.7311088,4.3333113254850996e-13,0.0,0.13011751416290182,0.03352235677776148,2.2983327390737664e-10,0.08488531115140031
203473893.56645122,4.251579828069038e-13,0.0,0.13011751416290182,0.0335236240033466,2.2671881736418744e-10,0.08555923290608794
206469581.12876177,4.19360613268671e-13,0.0,0.13011751416290182,0.03352488896027381,2.2364656462989398e-10,0.08623380989275539
209509373.33670366,4.1434504137087115e-13,0.0,0.13011751416290182,0.033526156106250156,2.206159438031468e-10,0.08690904274846313
212593919.5302793,4.1641429743696295e-13,0.0,0.13011751416290182,0.03352743736402831,2.1762639073272212e-10,0.08758493211089129
215723878.60953444,4.218706644736612e-13,0.0,0.13011751416290182,0.03352874926284208,2.146773489118615e-10,0.08826147861833954
218899919.17531306,4.1450152567960665e-13,0.0,0.13011751416290182,0.033530077438844084,2.117682693750526e-10,0.08893868290972842
222122719.672077,4.073115288893746e-13,0.0,0.13011751416290182,0.03353140170860434,2.0889861059601753e-10,0.08961654562459988
225392968.53282788,4.05611048604632e-13,0.0,0.13011751416290182,0.0335327309381708,2.060678383863966e-10,0.09029506740311717
228711364.32617092,3.977103835026435e-13,0.0,0.13011751416290182,0.03353406380740131,2.032754257966426e-10,0.09097424888606633
232078615.90553495,3.345950459107836e-13,0.0,0.13011751416290182,0.033535296735708195,2.0052085301798747e-10,0.09165409071485627
235495442.5605938,3.619258336023115e-13,0.0,0.13011751416290182,0.033536486681261655,1.9780360728538419e-10,0.09233459353151952
