t,AGB+OB,AGB+OB_rate,AGB+OB_z
181.97008586099844,0.0920844951151709,0.01049238091417413,0.011575793721105008
183.65383433483476,0.09210211169750748,0.010359046497786479,0.011592308818248132
185.35316234148124,0.09211966558420899,0.010227130858026526,0.011608780876152074
187.06821403658017,0.09213715652555801,0.010096624785114881,0.011625209271085688
188.79913490962946,0.09215458427916877,0.009967519065148816,0.01164159339402245
190.54607179632484,0.09217194861005559,0.00983980447626017,0.011657932650560247
192.30917289101595,0.0921892492906925,0.009713471785189047,0.011674226460835446
194.08858775927794,0.0922064861010646,0.009588511744252695,0.01169047425943146
195.8844673505991,0.09222365882871116,0.009464915088689636,0.011706675495282082
197.6969640111862,0.09224076726876106,0.009342672534359593,0.011722829631569774
199.52623149688807,0.09225781122396048,0.009221774775780478,0.011738936145619166
201.37242498623894,0.09227479050469352,0.0091022124844841,0.011754994528785968
203.23570109362208,0.0922917049289955,0.008983976307672989,0.011771004286341551
205.11621788255647,0.09230855432256,0.00886705686716109,0.01178696493735338
207.01413487910415,0.09232533851873892,0.008751444758582003,0.011802876014561526
208.92961308540387,0.09234205735853661,0.008637130550848506,0.011818737064251484
210.86281499332887,0.09235871069059808,0.008524104785848072,0.011834547646123475
212.81390459827114,0.09237529837119127,0.008412357978359455,0.011850307333158479
214.7830474130533,0.0923918202641841,0.008301880616175926,0.011866015711481147
216.7704104819694,0.0924082762410162,0.00819266316042137,0.011881672380219832
218.77616239495518,0.09242466618066558,0.008084696046045928,0.011897276951363918
220.80047330188992,0.0924409899696107,0.007977969682488335,0.011912829049618621
222.8435149270303,0.09245724750178794,0.00787247445449272,0.01192832831225746
224.90546058357805,0.0924734386785447,0.007768200723068016,0.011943774388972582
226.98648518838212,0.09248956340858867,0.007665138826578686,0.0119591669417231
229.08676527677724,0.09250562160793292,0.007563279081955953,0.011974505644581634
231.20647901755942,0.09252161319983745,0.007462611786019093,0.01198979018357919
233.3458062281002,0.09253753811474744,0.00736312721689694,0.01200502025654858
235.5049283896009,0.0925533962902279,0.007264815635540112,0.012020195572966503
237.6840286624876,0.09256918767089556,0.007167667287314888,0.012035315853794474
239.88329190194898,0.09258491220834769,0.007071672403670175,0.012050380831318696
242.10290467361776,0.09260056986108832,0.006976821203869304,0.01206539024898909
244.34305526939713,0.0926161605944518,0.006883103896778941,0.012080343861257557
246.60393372343387,0.09263168438052409,0.006790510682707576,0.012095241433415642
248.88573182823905,0.09264714119806186,0.006699031755286695,0.012110082741431716
251.18864315095797,0.09266253103240954,0.0066086573033878665,0.012124867571787816
253.51286304979072,0.09267785387541443,0.0065193775130694895,0.012139595721316232
255.85858869056452,0.09269310972534008,0.006431182569547225,0.012154266997036
258.22601906345955,0.09270829858677826,0.006344062659182484,0.012168881215989375
260.6153549998895,0.0927234204705592,0.006258007971483666,0.01218343820507842
263.02679918953817,0.09273847539366081,0.0061730087011151605,0.01219793780090179
265.4605561975539,0.09275346337911639,0.006089055049909398,0.012212379849591826
267.91683248190316,0.09276838445592164,0.0060061372288775896,0.012226764206652056
270.3958364108843,0.09278323865894052,0.0059242454602150005,0.012241090736795182
272.89777828080406,0.0927980260288102,0.005843369979296898,0.012255359313781645
275.4228703338166,0.09281274661184562,0.005763501036661649,0.01226956982025886
277.97132677592884,0.09282740045994317,0.005684628899977498,0.012283722147601187
280.54336379517133,0.09284198763048407,0.005606743855990074,0.012297816195750714
283.1391995799379,0.0928565081862371,0.005529836212447614,0.01231185187305894
285.75905433749466,0.0928709621952613,0.005453896300001345,0.012325829096129408
288.40315031266056,0.09288534973080839,0.005378914474078514,0.01233974778966137
291.0717118066605,0.09289967087122493,0.0053048811167258686,0.012353607886294509
293.76496519615307,0.09291392569985454,0.0052317866384215235,0.012367409326454843
296.4831389524342,0.09292811430494033,0.005159621479853308,0.012381152058201792
299.2264636608189,0.09294223677952698,0.005088376113661969,0.0123948360370765
301.9951720402016,0.0929562932213636,0.005018041046147665,0.012408461225951467
304.7894989627983,0.0929702837328064,0.0049486068189383585,0.012422027594881502
307.6096814740708,0.0929842084207218,0.0048800640106189735,0.012435535120956083
310.45595881283555,0.09299806739639012,0.004812403238320143,0.012448983788153114
313.32857243155854,0.09301186077540934,0.004745615159265711,0.01246237358719417
316.22776601683796,0.09302558867759977,0.004679690472278099,0.012475704515401214
319.15378551007615,0.09303925122690898,0.004614619919240921,0.012488976576554855
322.10687912834345,0.09305284855131743,0.0045503942865182155,0.012502189780754158
325.0872973854344,0.09306638078274469,0.004487004406329892,0.012515344144278033
328.09529311311906,0.09307984805695654,0.004424441158083004,0.012528439689448237
331.1311214825911,0.09309325051347259,0.004362695469658599,0.012541476444493998
334.19504002611427,0.09310658829547473,0.004301758318653952,0.012554454443418296
337.2873086588689,0.09311986154971645,0.004241620733580165,0.012567373725865801
340.4081897010009,0.093133070426433,0.0041822737950150506,0.012580234336992508
343.55794789987465,0.09314621507925229,0.004123708636711421,0.012593036327337055
346.73685045253166,0.09315929566510689,0.004065916446660919,0.012605779752693757
349.94516702835733,0.09317231234414687,0.0040088884681135995,0.012618464673987364
353.18316979195697,0.09318526527965351,0.0039526160005535,0.012631091157149521
356.45113342624427,0.09319815463795415,0.0038970904006305827,0.01264365927299701
359.74933515574236,0.0932109805883379,0.0038423030830493816,0.012656169097111678
363.0780547701014,0.09322374330297253,0.0037882455214147907,0.012668620709722151
366.43757464783334,0.09323644295682221,0.0037349092490354817,0.012681014195587271
369.8281797802663,0.09324907972756645,0.003682285859685441,0.012693349643881286
373.2501577957206,0.09326165379552008,0.003630367008324194,0.012705627148080783
