H,He,C,N,O,Ne,Mg,Si,Fe
0.22303339796278093,0.10891295696546208,0.004899562441880768,0.0010258684082764904,0.00779045019048088,0.0012170657227570988,0.0003512432358692254,0.0009627900113266162,0.0008345669337196405
0.22346328899563994,0.1091081330356819,0.004910859328390452,0.0010273080430634476,0.007794279523450165,0.0012178442004971376,0.000351697347884248,0.0009632441233416388,0.0008354102846046825
0.22389375251879173,0.1093034191315512,0.0049221386932383135,0.001028746755583236,0.007798113316875256,0.0012186234898266099,0.0003521519333264402,0.000963698708783831,0.0008362545147116109
0.22432479211953693,0.1094988130721809,0.004933399870836211,0.001030184485895474,0.007801951577065851,0.0012194035915916253,0.0003526069926893658,0.0009641537681467566,0.0008370996249570441
0.22475641142272168,0.10969431264837362,0.004944642187686818,0.0010316211733293458,0.007805794310339904,0.0012201845066391753,0.0003530625264671034,0.0009646093019244941,0.0008379456162585568
0.22518861409109042,0.10988991562235137,0.004955864962308657,0.001033056756476624,0.007809641523023577,0.0012209662358171347,0.00035351853515424637,0.0009650653106116372,0.0008387924895346795
0.22562140382564277,0.11008561972748171,0.004967067505160528,0.0010344911731846342,0.007813493221451202,0.001221748779974262,0.0003539750192459039,0.0009655217947032947,0.0008396402457049007
0.22605478436599308,0.11028142266800087,0.00497824911856527,0.0010359243605491562,0.007817349411965241,0.0012225321399602005,0.00035443197923770134,0.0009659787546950922,0.0008404888856896674
0.22648875949073294,0.11047732211873487,0.004989409096632871,0.001037356254907268,0.007821210100916241,0.0012233163166254794,0.00035488941562578075,0.0009664361910831715,0.0008413384104103862
0.226923333017797,0.1106733157248182,0.005000546725182932,0.0010387867918301243,0.007825075294662795,0.0012241013108215148,0.0003553473289068013,0.0009668941043641921,0.0008421888207894244
0.22735850880483172,0.11086940110141,0.005011661281666453,0.0010402159061156774,0.007828944999571485,0.0012248871234006099,0.00035580571957794015,0.000967352495035331,0.0008430401177501109
0.22780530978548658,0.1110705313158776,0.0050230318833280035,0.001041679591289934,0.007832917187656436,0.0012256936388252285,0.0003562761869089678,0.0009678229623663586,0.0008439138427934478
0.22830966437108774,0.1112973159512686,0.005035817419695145,0.001043327530816492,0.007837400082310519,0.0012266036681974485,0.0003568070373760961,0.000968353812833487,0.0008448997079466862
0.22874717447493798,0.1114938213514857,0.005046868725354017,0.0010447537534622573,0.007841288208991862,0.0012273927620337726,0.00035726734211395173,0.0009688141175713426,0.0008457545596027037
0.22918501270966568,0.1116902199079361,0.0050578845050989855,0.0010461774408093568,0.007845178610149337,0.0012281820777379447,0.00035772777627471883,0.0009692745517321097,0.0008466096516155569
0.22962318368685936,0.1118865080300778,0.005068863883068226,0.001047598516696127,0.007849071296060696,0.0012289716153723478,0.00035818833989478734,0.0009697351153521781,0.000847464984052827
0.23006169206975363,0.11208268208671252,0.005079805973478391,0.0010490169040780213,0.007852966277082126,0.0012297613749993812,0.0003586490330105567,0.0009701958084679475,0.000848320556982113
0.2305005425737104,0.11227873840560831,0.005090709880532326,0.0010504325250193258,0.007856863563648857,0.001230551356681462,0.00035910985565843726,0.0009706566311158281,0.000849176370471034
0.23093973996670164,0.11247467327311819,0.005101574698325941,0.0010518453006847942,0.00786076316627576,0.0012313415604810253,0.0003595708078748492,0.00097111758333224,0.0008500324245872276
0.231379289069798,0.11267048293379614,0.005112399510754316,0.0010532551513312157,0.007864665095557945,0.001232131986460523,0.00036003188969622286,0.0009715786651536137,0.0008508887193983501
0.23181919475766122,0.11286616359000984,0.005123183391417039,0.0010546619962989137,0.00786856936217139,0.0012329226346824256,0.00036049310115899923,0.0009720398766163901,0.0008517452549720777
0.23225946195903957,0.11306171140154936,0.005133925403522678,0.0010560657540031658,0.007872475976873546,0.0012337135052092195,0.0003609544422996291,0.0009725012177570198,0.0008526020313761046
0.23270009565726962,0.11325712248523387,0.0051446245997925156,0.001057466341925557,0.007876384950503959,0.0012345045981034105,0.00036141591315457384,0.0009729626886119647,0.0008534590486781449
0.23314110089078,0.11345239291451362,0.005155280022363408,0.0010588636766052555,0.007880296293984894,0.001235295913427521,0.00036187751376030506,0.0009734242892176959,0.0008543163069459314
0.23358248275360066,0.11364751871906939,0.005165890702689854,0.0010602576736302137,0.00788421001832197,0.001236087451244091,0.00036233924415330417,0.000973886019610695,0.0008551738062472155
0.234024246395877,0.1138424958844087,0.005176455661445246,0.0010616482476283006,0.007888126134604793,0.0012368792116156787,0.00036280110437006364,0.0009743478798274545,0.0008560315466497687
0.2344663970243861,0.11403732035145767,0.00518697390842224,0.0010630353122583493,0.007892044654007592,0.0012376711946048586,0.00036326309444708525,0.0009748098699044761,0.0008568895282213804
0.23490893990306055,0.11423198801615064,0.005197444442432348,0.001064418780201138,0.007895965587789868,0.0012384634002742246,0.00036372521442088206,0.0009752719898782729,0.0008577477510298601
0.235351880353513,0.11442649472901517,0.005207866251204608,0.001065798563150286,0.00789988894729704,0.001239255828686386,0.0003641874643279763,0.0009757342397853671,0.0008586062151430353
0.23579522375556888,0.11462083629475464,0.005218238311283478,0.0010671745718030805,0.0079038147439611,0.0012400484799039724,0.0003646498442049016,0.0009761966196622924,0.0008594649206287536
0.23623897554780038,0.11481500847182619,0.005228559587925792,0.001068546715851218,0.00790774298930127,0.001240841353989628,0.00036511235408820083,0.0009766591295455916,0.0008603238675548808
0.23668314122806744,0.1150090069720163,0.005238829034996915,0.0010699149039714746,0.007911673694924673,0.0012416344510060176,0.00036557499401442797,0.0009771217694718188,0.0008611830559893027
0.23712772635406104,0.11520282746001162,0.005249045594865956,0.001071279043816289,0.007915606872526987,0.001242427771015821,0.0003660377640201467,0.0009775845394775376,0.0008620424859999231
0.23757273654385358,0.11539646555296723,0.0052592081983001675,0.0010726390420042746,0.007919542533893134,0.0012432213140817377,0.00036650066414193136,0.0009780474395993221,0.0008629021576546659
0.23801817747645115,0.11558991682007033,0.005269315764358383,0.0010739948041106437,0.007923480690897954,0.001244015080266483,0.0003669636944163661,0.000978510469873757,0.0008637620710214734
0.23846405489235323,0.11578317678210129,0.005279367200283628,0.0010753462346575567,0.007927421355506883,0.0012448090696327914,0.0003674268548800461,0.000978973630337437,0.0008646222261683076
0.2389103745941144,0.11597624091098968,0.0052893614013947605,0.001076693237104383,0.007931364539776645,0.001245603282243414,0.000367890145569576,0.000979436921026967,0.0008654826231631489
0.23935712901957024,0.1161691048924541,0.0052992991009111,0.0010780357625926574,0.007935310323242389,0.0012463977051897558,0.0003683535589549419,0.0009799003344123328,0.0008663432480216855
0.23980429101394207,0.11636176479032845,0.005309183745377705,0.0010793738331172445,0.007939258885749242,0.0012471923066562115,0.0003688170764770411,0.000980363851934432,0.0008672040662770126
0.24025184061509236,0.11655421657261267,0.005319017825238786,0.0010807074449397916,0.007943210374919303,0.001247987061892848,0.0003692806836984124,0.0009808274591558033,0.0008680650511167021
0.24069977735971637,0.11674645583606219,0.005328801165545483,0.0010820365234491473,0.007947164843150103,0.001248781965038755,0.00036974437720019147,0.0009812911526575823,0.0008689261961914347
0.24114810692529015,0.11693847801720567,0.005338532745830375,0.0010833609709915717,0.007951122312807625,0.001249577016121459,0.00037020815699843543,0.0009817549324558264,0.0008697875015310307
0.24159683505068175,0.11713027850316207,0.005348211534458231,0.0010846806888331747,0.007955082806451366,0.0012503722151684924,0.00037067202310920493,0.0009822187985665959,0.0008706489671653169
0.24204596753671076,0.11732185263118905,0.005357836488523537,0.001085995577149958,0.007959046346835918,0.0012511675622073918,0.00037113597554856297,0.000982682751005954,0.0008715105931241247
0.24249551024671534,0.1175131956882289,0.0053674065537472285,0.0010873055350177838,0.007963012956912568,0.0012519630572657002,0.00037160001433257623,0.0009831467897899672,0.0008723723794372922
0.24294546910712134,0.11770430291044937,0.005376920664372481,0.0010886104604022487,0.00796698265983089,0.0012527587003709644,0.00037206413947731367,0.0009836109149347046,0.0008732343261346618
0.24339585010801856,0.11789516948278186,0.005386377743059696,0.0010899102501484826,0.007970955478940374,0.0012535544915507374,0.0003725283509988479,0.0009840751264562388,0.0008740964332460823
0.24384665930374,0.1180857905384548,0.005395776700780546,0.0010912047999708523,0.007974931437792045,0.0012543504308325766,0.00037299264891325413,0.000984539424370645,0.0008749587008014083
0.24429790281344677,0.11827616115852341,0.005405116436711156,0.0010924940044425826,0.007978910560140115,0.0012551465182440446,0.00037345703323661046,0.0009850038086940014,0.0008758211288304986
0.24474958682171866,0.11846627637139609,0.005414395838124399,0.0010937777569852937,0.00798289286994364,0.0012559427538127099,0.0003739215039849985,0.0009854682794423893,0.0008766837173632193
0.2452017175791475,0.11865613115235565,0.005423613780281247,0.0010950559498584405,0.007986878391368177,0.0012567391375661449,0.0003743860611745022,0.000985932836631893,0.0008775464664294404
0.24565430140293848,0.11884572042307795,0.005432769126321263,0.0010963284741486758,0.007990867148787478,0.0012575356695319281,0.00037485070482120913,0.0009863974802786,0.0008784093760590391
0.24610734467751316,0.11903503905114513,0.00544186072715212,0.0010975952197591107,0.007994859166785178,0.0012583323497376427,0.00037531543494120933,0.0009868622103986003,0.0008792724462818965
0.24656085385512083,0.11922408184955594,0.005450887421338246,0.0010988560753984972,0.007998854470156509,0.0012591291782108774,0.00037578025155059625,0.000987327027007987,0.0008801356771279007
0.24701483545645192,0.11941284357623103,0.005459848034988479,0.0011001109285703097,0.008002853083910012,0.0012599261549792254,0.00037624515466546586,0.0009877919301228568,0.0008809990686269443
0.24746929607125945,0.11960131893351508,0.0054687413816428415,0.001101359665561743,0.008006855033269285,0.0012607232800702858,0.00037671014430191774,0.0009882569197593087,0.0008818626208089265
0.24789139795431325,0.11977593702757844,0.005476925045728219,0.0011025132251208107,0.008010570460004656,0.0012614630105281,0.0003771416537356427,0.0009886884291930337,0.0008826639954715585
0.2483324058168676,0.11995788919926373,0.005485369451432163,0.0011037127233616197,0.008014448380660736,0.0012622351258507018,0.00037759205434049386,0.0009891388297978848,0.0008835004537377107
0.2487878940149013,0.12014531396001435,0.005493964545546024,0.001104946764695921,0.008018447744758224,0.0012630317907849494,0.0003780567755521382,0.0009896035510095292,0.0008843635074164787
0.24924396226932838,0.12033247714152018,0.005502440365926294,0.0011061777829133263,0.008022445900901396,0.001263828662754933,0.0003785216175346286,0.0009900683929920196,0.0008852267853839609
