He,H,C,N,O,Ne,Mg,Si,Fe
9.168653337196235e-05,0.00022599806601264564,5.454698868990369e-07,7.694439357072292e-07,1.6999851210291313e-06,3.8483939799389203e-07,2.2448964882977038e-07,2.2448964882977038e-07,4.1690934782671644e-07
0.00010057503889866508,0.0002476196719592921,5.961664681471075e-07,8.467202624550105e-07,1.8615601436104645e-06,4.217989892786037e-07,2.4604941041251885e-07,2.4604941041251885e-07,4.5694890505182076e-07
0.00010956180519005171,0.0002694256225084286,6.470301748321236e-07,9.253173149436095e-07,2.0243293138440977e-06,4.5910092540252016e-07,2.678088731514701e-07,2.678088731514701e-07,4.973593358527303e-07
0.00011864834069181958,0.00029141702800040183,6.980563952386058e-07,1.005259653255492e-06,2.188297536666375e-06,4.967483787328583e-07,2.8976988759416735e-07,2.8976988759416735e-07,5.381440769605965e-07
0.00012783619027757615,0.0003135949866289952,7.492403494230491e-07,1.0865723161542945e-06,2.3534696370120015e-06,5.347445510509927e-07,3.119343214464125e-07,3.119343214464125e-07,5.79306596971909e-07
0.0001371269364291558,0.0003359605834864267,8.005770850976281e-07,1.1692808306379722e-06,2.5198503565160295e-06,5.730926738254009e-07,3.3430405973148387e-07,3.3430405973148387e-07,6.208503966441844e-07
0.0001465222004595121,0.0003585148895678644,8.520614734236311e-07,1.2534112216847798e-06,2.687444350133164e-06,6.117960084871417e-07,3.568810049508327e-07,3.568810049508327e-07,6.627790091944037e-07
0.00015602364377976873,0.000381258960733896,9.036882047127222e-07,1.3389900221960064e-06,2.856256182672557e-06,6.508578467078953e-07,3.7966707724627223e-07,3.7966707724627223e-07,7.0509600060022e-07
0.00016563296921206927,0.00040419383662933017,9.554517840340922e-07,1.4260442831394496e-06,3.0262903252462173e-06,6.902815106805831e-07,4.026642145636735e-07,4.026642145636735e-07,7.478049699039651e-07
0.00017535192234993096,0.00042732053955664797,1.0073465267255206e-06,1.5146015838977063e-06,3.197551151629135e-06,7.300703534025974e-07,4.258743728181819e-07,4.258743728181819e-07,7.909095495194808e-07
0.00018518229296786708,0.00045064007330235543,1.0593665538063284e-06,1.6046900428254395e-06,3.370042934529174e-06,7.702277589616601e-07,4.4929952606096843e-07,4.4929952606096843e-07,8.344134055417986e-07
0.0001951259164821131,0.00047415342191442587,1.1115057872901617e-06,1.69633832801986e-06,3.543769841764736e-06,8.107571428243364e-07,4.729416666475296e-07,4.729416666475296e-07,8.783202380596979e-07
0.0002051846754643568,0.0004978615484289499,1.1637579453954979e-06,1.7895756683087533e-06,3.7187359323481775e-06,8.516619521272307e-07,4.968028054075512e-07,4.968028054075512e-07,9.226337814711668e-07
0.00021536050121044644,0.0005217653935440409,1.2161165376517335e-06,1.8844318644604667e-06,3.894945152472891e-06,8.929456659708867e-07,5.208849718163506e-07,5.208849718163506e-07,9.67357804801794e-07
0.00022565537536612288,0.0005458658742389697,1.2685748598986568e-06,1.9809373006203607e-06,4.072401331401956e-06,9.346117957164163e-07,5.451902141679095e-07,5.451902141679095e-07,1.0124961120261178e-06
0.00023607133161190072,0.0005701638823364265,1.321125989177068e-06,2.0791229559783316e-06,4.251108177256172e-06,9.766638852848865e-07,5.697205997495172e-07,5.697205997495172e-07,1.0580525423919606e-06
0.00024661045740929986,0.0005946602830057262,1.3737627785082672e-06,2.179020416672083e-06,4.431069272699288e-06,1.0191055114594869e-06,5.944782150180341e-07,5.944782150180341e-07,1.1040309707477779e-06
0.0002572748958107148,0.0006193559132046948,1.4264778515600762e-06,2.2806618879309442e-06,4.612288070518165e-06,1.0619402841905028e-06,6.194651657777934e-07,6.194651657777934e-07,1.150435307873045e-06
0.00026806684733529234,0.000644251580057886,1.4792635971970158e-06,2.3840802064651153e-06,4.794767889095571e-06,1.1051718469031232e-06,6.446835773601553e-07,6.446835773601553e-07,1.1972695008117172e-06
0.0002789885719132775,0.0006693480591686892,1.5321121639122143e-06,2.489308853105325e-06,4.9785119077732665e-06,1.148803876808109e-06,6.701355948047303e-07,6.701355948047303e-07,1.2445375332087851e-06
0.0002900423909013819,0.0006946460928627991,1.5850154541385617e-06,2.596381965697981e-06,5.1635231621029684e-06,1.1928400852153447e-06,6.958233830422845e-07,6.958233830422845e-07,1.292243425649957e-06
0.00030123068917182056,0.0007201463883604209,1.6379651184365897e-06,2.7053343522610097e-06,5.3498045389827574e-06,1.237284217850306e-06,7.217491270793452e-07,7.217491270793452e-07,1.3403912360044985e-06
0.00031255591727776574,0.000745849615874484,1.690952549556488e-06,2.8162015044056714e-06,5.537358771676428e-06,1.2821400551734657e-06,7.479150321845218e-07,7.479150321845218e-07,1.388985059771255e-06
0.0003240205936980689,0.000771756406632041,1.743968876371627e-06,2.9290196110297613e-06,5.726188434713204e-06,1.3274114127026694e-06,7.743233240765572e-07,7.743233240765572e-07,1.4380290304278921e-06
0.00033562730716420603,0.0007978673508159113,1.7970049576808963e-06,3.043825572287701e-06,5.916295938665255e-06,1.3731021413385011e-06,8.009762491141257e-07,8.009762491141257e-07,1.4875273197833764e-06
0.00034737871907251656,0.0008241829954235296,1.8500513758771138e-06,3.1606570138431475e-06,6.107683524800314e-06,1.4192161276926797e-06,8.278760744873966e-07,8.278760744873966e-07,1.5374841383337366e-06
0.00035927756598491776,0.0008507038420398369,1.9030984304787041e-06,3.279552301409859e-06,6.3003532596067016e-06,1.4657572944194993e-06,8.550250884113746e-07,8.550250884113746e-07,1.5879037356211246e-06
0.00037132666222139724,0.0008774303445209341,1.956136131521789e-06,3.4005505555866758e-06,6.49430702918797e-06,1.512729600550353e-06,8.824256003210393e-07,8.824256003210393e-07,1.6387904005962161e-06
0.00038352890254771056,0.0009043629065850984,2.009154192809768e-06,3.523691666992584e-06,6.689546533524352e-06,1.5601370418313623e-06,9.100799410682947e-07,9.100799410682947e-07,1.6901484619839762e-06
0.000395887264961838,0.0009315018793076284,2.0621420250174175e-06,3.649016311707963e-06,6.8860732805980955e-06,1.6079836510641475e-06,9.379904631207527e-07,9.379904631207527e-07,1.7419822886528266e-06
0.0004084048135828888,0.0009588475585158557,2.115088728646457e-06,3.776565967028238e-06,7.083888580379763e-06,1.6562734984497585e-06,9.661595407623592e-07,9.661595407623592e-07,1.7942962899872388e-06
0.00042108470164627896,0.0009864001820805222,2.1679830868294927e-06,3.906382927536283e-06,7.282993538672454e-06,1.705010691935807e-06,9.945895702958875e-07,9.945895702958875e-07,1.8470949162637913e-06
0.0004339301746091528,0.0010141599270995733,2.220813557979164e-06,4.0385103215000485e-06,7.483389050810901e-06,1.7541993775668195e-06,1.0232829702473115e-06,1.0232829702473115e-06,1.9003826590307214e-06
0.0004469445733701673,0.0010421269069702793,2.273568268279263e-06,4.1729921276020274e-06,7.685075795212261e-06,1.8038437398378483e-06,1.0522421815720783e-06,1.0522421815720783e-06,1.9541640514910026e-06
0.0004601313376079117,0.0010703011683454301,2.3262350040145272e-06,4.3098731920072965e-06,7.888054226775444e-06,1.853948002051367e-06,1.0814696678632974e-06,1.0814696678632974e-06,2.008443668888981e-06
0.00047349400924239567,0.0010986826879692026,2.3788012037357415e-06,4.4491992457770174e-06,8.092324570125643e-06,1.904516426677484e-06,1.1109679155618658e-06,1.1109679155618658e-06,2.063226128900608e-06
0.00048703623602420635,0.0011272713693881178,2.4312539502567102e-06,4.591016922634413e-06,8.297886812700797e-06,1.9555533157174993e-06,1.1407394341685412e-06,1.1407394341685412e-06,2.118516092027291e-06
0.0005007617752561067,0.0011560670395323496,2.4835799624795924e-06,4.735373777090389e-06,8.504740697676488e-06,2.0070630110708433e-06,1.170786756457992e-06,1.170786756457992e-06,2.174318261993414e-06
0.0005146744976520251,0.0011850694451624542,2.535765587045024e-06,4.882318302936101e-06,8.712885716725873e-06,2.0590498949054236e-06,1.2011124386948307e-06,1.2011124386948307e-06,2.2306373861475427e-06
0.0005287783913385748,0.001214278249176411,2.5877967898033685e-06,5.0318999521099295e-06,8.922321102611032e-06,2.111518390031412e-06,1.231719060851657e-06,1.231719060851657e-06,2.2874782558673636e-06
0.0005430775660044305,0.0012436930267716736,2.6396591471033736e-06,5.184169153946473e-06,9.13304582160213e-06,2.1644729602785073e-06,1.2626092268291294e-06,1.2626092268291294e-06,2.3448457069683835e-06
0.0005575762572030944,0.0012733132614567257,2.6913378368944206e-06,5.339177334815326e-06,9.34505856572067e-06,2.217918110876701e-06,1.2937855646780757e-06,1.2937855646780757e-06,2.4027446201164268e-06
0.0005722788308147866,0.0013031383409064336,2.7428176296384906e-06,5.496976938157549e-06,9.558357744803071e-06,2.2718583888405837e-06,1.325250726823674e-06,1.325250726823674e-06,2.4611799212439664e-06
0.0005871897876734126,0.0013331675526552676,2.794082879027873e-06,5.657621444927945e-06,9.772941478380707e-06,2.3262983833572207e-06,1.357007390291712e-06,1.357007390291712e-06,2.520156581970323e-06
0.0006023137683647825,0.0013634000796222494,2.845117512504587e-06,5.821165394451349e-06,9.988807587372411e-06,2.381242726177633e-06,1.3890582569369526e-06,1.3890582569369526e-06,2.5796796200257695e-06
0.0006176555582024914,0.001393834995461241,2.8959050215773614e-06,5.987664405701394e-06,1.020595358558552e-05,2.4366960920119158e-06,1.4214060536736177e-06,1.4214060536736177e-06,2.639754099679576e-06
0.0006332200923881049,0.0014244712597299566,2.9464284519319826e-06,6.1571751990102995e-06,1.0424376671021231e-05,2.492663198928029e-06,1.4540535327080172e-06,1.4540535327080172e-06,2.7003851321720323e-06
