t,AGB+OB,AGB+OB_rate
3933816.325689102,0.05520837067576974,2.0114693121191595e-08
3944494.2262674575,0.05542221162396825,1.993830168416859e-08
3955201.110802185,0.055634752699120084,1.9763457396629573e-08
3965937.0579669727,0.05584600180622024,1.959014668834919e-08
3976702.146649034,0.05605596680219951,1.9418356108128497e-08
3987496.45594974,0.05626465549621776,1.9248072322750143e-08
3998320.06518516,0.05647207564995369,1.9079282115944125e-08
4009173.0538866622,0.05667823497789383,1.8911972387361804e-08
4020055.501801493,0.056883141147619415,1.874613015155923e-08
4030967.488893372,0.05708680178009178,1.8581742536989138e-08
4041909.095343044,0.05728922444993521,1.8418796785002467e-08
4052880.401548923,0.05749041668571965,1.8257280248857316e-08
4063881.488127647,0.05769038597024015,1.809718039273796e-08
4074912.435914678,0.05788913974079532,1.7938484790781728e-08
4085973.325964896,0.058086685389463974,1.7781181126114647e-08
4097064.239553197,0.05828303026338016,1.7625257189895396e-08
4108185.258175096,0.058478181665006554,1.7470700880367742e-08
4120856.9271189375,0.058698462463932045,1.7296747654113002e-08
4136600.013953411,0.058969090223784854,1.7083772849680375e-08
4152403.244779153,0.059237406910403946,1.6873421040322415e-08
4168266.849366864,0.05950343226970887,1.6665659921263665e-08
4184191.058364987,0.05976718587894666,1.646045758559468e-08
4200176.103303182,0.06002868714813492,1.625778251937034e-08
4216222.216595606,0.06028795532148894,1.605760359677122e-08
4232329.63154429,0.060545009478838153,1.585989007532343e-08
4248498.582342623,0.06079986853703195,1.566461159117625e-08
4264729.30407862,0.06105255125132984,1.5471738154440616e-08
4281022.032738484,0.06130307621678418,1.5281240144581758e-08
4297377.005209897,0.06155146186960658,1.5093088305871866e-08
4313794.459285593,0.06179772648852699,1.490725374289558e-08
4330274.633666722,0.062041888196137505,1.4723707916113536e-08
4346817.767966364,0.062283964960226965,1.4542422637478888e-08
4363424.102712998,0.06252397459510327,1.4363370066108438e-08
4380093.879354012,0.06276193476290463,1.4186522704006944e-08
4396827.3402592,0.06299786297489948,1.4011853391844154e-08
4413624.728724293,0.06323177659277542,1.383933530478378e-08
4430486.2889744975,0.06346369282991705,1.3668941948363887e-08
4447412.266168041,0.06369362875267295,1.3500647154428022e-08
4464402.906399741,0.0639216012816118,1.3334425077106424e-08
4481458.456704582,0.06414762719276777,1.3170250188846709e-08
4498579.165061305,0.0643717231188753,1.3008097276493584e-08
4515765.280396017,0.06459390555059333,1.284794143741661e-08
4533017.052585809,0.06481419083771903,1.268975807568584e-08
4550334.732462382,0.06503259519039116,1.2533522898294544e-08
4567718.571815709,0.06524913468028329,1.2379211911428308e-08
4585168.823397679,0.06546382524178657,1.2226801416780294e-08
4602685.740925786,0.06567668267318266,1.2076268007911673e-08
4620269.579086809,0.06588772263780648,1.1927588566657055e-08
4637920.593540518,0.06609696066519902,1.1780740259574093e-08
4655639.040923391,0.06630441215225044,1.1635700534436817e-08
4673425.178852344,0.06651009236433324,1.1492447116772222e-08
4691279.265928483,0.06671401643642591,1.1350958006439408e-08
4709201.561740852,0.06691619937422678,1.1211211474250966e-08
4727192.32687022,0.0671166560552586,1.1073186058635871e-08
4745251.8228928605,0.06731540122996346,1.0936860562343561e-08
4763380.31238436,0.0675124495227885,1.0802214049188537e-08
4781578.058923432,0.06770781543326228,1.0669225840835113e-08
4799845.327095752,0.067901513337062,1.053787551362174e-08
4818182.382497804,0.06809355748707155,1.04081428954244e-08
4836589.491740742,0.06828396201443054,1.0280008062558741e-08
4855066.922454264,0.06847274092957442,1.0153451336720251e-08
4873614.943290507,0.06865990812326563,1.0028453281962165e-08
4892233.823927951,0.06884547736761597,9.904994701710623e-09
4910923.83507534,0.06902946231710035,9.783056635816504e-09
4929685.248475618,0.06921187650956163,9.66262035764368e-09
4948518.336909881,0.06939273336720718,9.543667371193008e-09
4967423.3742013415,0.06957204619759662,9.426179408261882e-09
4986400.635219311,0.0697498281946214,9.310138425638623e-09
5005450.395883198,0.06992609243947584,9.195526602331544e-09
5024572.933166513,0.0701008519016199,9.082326336832068e-09
5043768.5251009045,0.07027411943973376,8.97052024441158e-09
5063037.450780196,0.07044590780266427,8.860091154451575e-09
5082379.990364445,0.07061622963036324,8.751022107806655e-09
5101796.425084017,0.07078509745481773,8.64329635420007e-09
5121953.141855325,0.07095820926260425,8.533291455273533e-09
5144795.665003968,0.07115173253168927,8.410832258704627e-09
5167740.059616366,0.07134332928095038,8.290131309764155e-09
5190786.780011626,0.07153301870879367,8.171163363841679e-09
5213936.282535019,0.07172081982239595,8.053903538784311e-09
5237189.025566991,0.07190675143960976,7.938327309692767e-09
5260545.469532242,0.07209083219084955,7.824410503791944e-09
5284006.076908817,0.07227308052095895,7.712129295375319e-09
5307571.312237315,0.0724535146910599,7.601460200821533e-09
5331241.642130051,0.07263215278038279,7.492380073682995e-09
5355017.535280317,0.0728090126880788,7.384866099844676e-09
5378899.462471616,0.07298411213501357,7.2788957927527655e-09
5402887.896587049,0.07315746866554403,7.174446988711296e-09
5426983.312618638,0.07332909964927653,7.071497842246784e-09
5451186.187676744,0.07349902228280798,6.970026821539234e-09
5475497.000999503,0.07366725359144949,6.870012703918727e-09
5499916.233962343,0.07383381043093297,6.7714345714266714e-09
5524444.370087457,0.0739987094891003,6.674271806440981e-09
5549081.895053452,0.07416196728757647,6.578504087363631e-09
5573829.296704916,0.07432360018342529,6.484111384370583e-09
5598687.065062107,0.07448362437078904,6.391073955222444e-09
5623655.692330604,0.07464205588251137,6.299372341135537e-09
5648735.672911122,0.07479891059174468,6.208987362711891e-09
5673927.503409263,0.07495420421354095,6.119900115927975e-09
5699231.682645362,0.07510795230642692,6.0320919681808726e-09
5724648.711664326,0.07526017027396333,5.945544554391428e-09
5750179.093745618,0.07541087336628922,5.860239773162951e-09
5775823.334413183,0.07556007668165025,5.776159782995456e-09
5801581.941445463,0.07570779516791205,5.693286998554087e-09
5827455.424885469,0.07585404362405851,5.611604086991089e-09
5853444.297050827,0.07599883670167487,5.5310939643208086e-09
5879549.072543998,0.07614218890641665,5.451739791846347e-09
5905770.268262419,0.07628411459946328,5.373524972637891e-09
5932108.403408761,0.07642462799895768,5.296433148061391e-09
5958563.999501161,0.07656374318143104,5.220448194357303e-09
