t,AGB+OB
2.5585858869056457,7.4373721175853984e-09
2.5822601906345963,7.590620986456904e-09
2.6061535499988957,7.74703075167189e-09
2.6302679918953817,7.906666621271757e-09
2.654605561975539,8.069595148557208e-09
2.679168324819032,8.235884259841446e-09
2.7039583641088436,8.405603282775943e-09
2.728977782808041,8.578822975260621e-09
2.7542287033381663,8.755615554950401e-09
2.7797132677592886,8.93605472937054e-09
2.8054336379517135,9.120215726653203e-09
2.8313919957993794,9.3081753269082e-09
2.857590543374947,9.500011894240862e-09
2.884031503126606,9.695805409430515e-09
2.9107171180666054,9.895637503283062e-09
2.937649651961531,1.0099591490671696e-08
2.9648313895243428,1.0307752405279855e-08
2.9922646366081893,1.0520207035060938e-08
3.019951720402016,1.0737043958429601e-08
3.047894989627983,1.0958353581199663e-08
3.076096814740708,1.1184228174284053e-08
3.1045595881283554,1.1414761912172553e-08
3.1332857243155856,1.1650050912203324e-08
3.1622776601683795,1.1890193274644633e-08
3.1915378551007616,1.2135289123603468e-08
3.2210687912834346,1.2385440648778149e-08
3.2508729738543436,1.2640752148072269e-08
3.2809529311311905,1.2901330071087813e-08
3.311311214825911,1.316728306351552e-08
3.3419504002611427,1.3438722012441077e-08
3.372873086588689,1.371576009258599e-08
3.404081897010009,1.3998512813502395e-08
3.4355794789987466,1.4287098067741532e-08
3.4673685045253166,1.458163618001597e-08
3.499451670283573,1.4882249957376062e-08
3.53183169791957,1.5189064740421547e-08
3.5645113342624426,1.550220845556966e-08
3.5974933515574232,1.5821811668401617e-08
3.630780547701014,1.6148007638109583e-08
3.664375746478333,1.6480932373066902e-08
3.6982817978026628,1.6820724687544876e-08
3.732501577957206,1.716752625959948e-08
3.767037989839089,1.752148169015244e-08
3.8018939632056115,1.7882738563291036e-08
3.8370724549227875,1.825144750781211e-08
3.872576449216172,1.862776226003551e-08
3.90840895792402,1.9011839727913622e-08
3.944573020752784,1.940384005646336e-08
3.9810717055349722,1.9803926694548127e-08
4.017908108489399,1.9819496075389823e-08
4.055085354483838,1.9426052584455994e-08
4.092606597300109,1.904042675436239e-08
4.130475019901613,1.8662463275205088e-08
4.168693834703354,1.8292009922622064e-08
4.207266283844441,1.7928917496492506e-08
4.246195639463129,1.7573039760853926e-08
