time,H,He,C,N,O,Ne,Mg,Si,Fe
1970415.5454545466,0.021336073319358023,0.006965702334365396,6.93104709887104e-05,2.021555403837387e-05,0.00016461236859818725,3.46552354943552e-05,2.021555403837387e-05,2.021555403837387e-05,3.754317178555148e-05
2001533.2525252537,0.021409142254705575,0.00698955754173658,6.954783623618486e-05,2.0284785568887255e-05,0.0001651761110609391,3.477391811809243e-05,2.0284785568887255e-05,2.0284785568887255e-05,3.767174462793348e-05
2032650.9595959608,0.021479577799375177,0.007012553011923786,6.977664688481379e-05,2.035152200807069e-05,0.0001657195363514328,3.488832344240689e-05,2.035152200807069e-05,2.035152200807069e-05,3.779568372927414e-05
2063768.666666668,0.021547092536811925,0.007034594910502214,6.99959692587285e-05,2.0415491033795815e-05,0.00016624042698948024,3.499798462936425e-05,2.0415491033795815e-05,2.0415491033795815e-05,3.7914483348477945e-05
2094886.373737375,0.021612538638291337,0.007055961450400474,7.020857164577586e-05,2.0477500063351293e-05,0.0001667453576587177,3.510428582288793e-05,2.0477500063351293e-05,2.0477500063351293e-05,3.8029642974795264e-05
2126004.080808082,0.021676615630799857,0.00707688100994711,7.041672646713542e-05,2.053821188624783e-05,0.00016723972535944668,3.520836323356771e-05,2.053821188624783e-05,2.053821188624783e-05,3.8142393503031695e-05
2157121.787878789,0.02174031379868613,0.007097676892586754,7.062365067250502e-05,2.059856477948063e-05,0.00016773117034719946,3.531182533625251e-05,2.059856477948063e-05,2.059856477948063e-05,3.825447744760689e-05
2188239.4949494964,0.021804218528235667,0.007118540212520903,7.083124589573037e-05,2.0659113386254694e-05,0.00016822420900235968,3.5415622947865186e-05,2.0659113386254694e-05,2.0659113386254694e-05,3.8366924860187294e-05
2219357.202020203,0.021867743219045305,0.007139279459168554,7.103760655889108e-05,2.0719301913009898e-05,0.00016871431557736636,3.551880327944554e-05,2.0719301913009898e-05,2.0719301913009898e-05,3.8478703552732674e-05
2250474.9090909106,0.021930835681093663,0.007159877593773405,7.124256312212343e-05,2.0779080910619335e-05,0.00016920108741504318,3.5621281561061714e-05,2.0779080910619335e-05,2.0779080910619335e-05,3.85897216911502e-05
2281592.6161616175,0.02199379694823725,0.007180432896473774,7.144709349725148e-05,2.0838735603365018e-05,0.00016968684705597232,3.572354674862574e-05,2.0838735603365018e-05,2.0838735603365018e-05,3.8700508977677895e-05
2312710.323232325,0.022057899330879704,0.007201360745273666,7.165533079874295e-05,2.0899471482966693e-05,0.00017018141064701454,3.5827665399371474e-05,2.0899471482966693e-05,2.0899471482966693e-05,3.881330418265244e-05
2343828.0303030317,0.022121328181884673,0.007222068702586063,7.186138012523445e-05,2.0959569203193382e-05,0.00017067077779743187,3.5930690062617226e-05,2.0959569203193382e-05,2.0959569203193382e-05,3.8924914234502e-05
2374945.7373737385,0.022179207377609325,0.007240964834162655,7.204940133495179e-05,2.1014408722694272e-05,0.00017111732817051052,3.6024700667475895e-05,2.1014408722694272e-05,2.1014408722694272e-05,3.902675905643223e-05
2406063.444444446,0.02223365828933133,0.00725874171546659,7.222628572603571e-05,2.1066000003427083e-05,0.00017153742859933488,3.6113142863017855e-05,2.1066000003427083e-05,2.1066000003427083e-05,3.912257143493602e-05
2437181.151515153,0.02228716690262261,0.007276210959545984,7.240010905020879e-05,2.1116698472977565e-05,0.00017195025899424592,3.6200054525104394e-05,2.1116698472977565e-05,2.1116698472977565e-05,3.921672573552977e-05
2468298.85858586,0.022338720640576504,0.007293041984985182,7.256758194015105e-05,2.116554473254406e-05,0.0001723480071078588,3.628379097007553e-05,2.116554473254406e-05,2.116554473254406e-05,3.930744021758183e-05
2499416.565656567,0.022389677415580657,0.007309678116727199,7.273311558932535e-05,2.12138253802199e-05,0.00017274114952464778,3.6366557794662676e-05,2.12138253802199e-05,2.12138253802199e-05,3.9397104277551243e-05
2530534.2727272743,0.022441706138880378,0.007326664213180763,7.290213147443544e-05,2.1263121680043672e-05,0.00017314256225178424,3.645106573721772e-05,2.1263121680043672e-05,2.1263121680043672e-05,3.948865454865254e-05
2561651.979797981,0.02249360411989082,0.007343607625497652,7.307072264176768e-05,2.131229410384891e-05,0.0001735429662741983,3.653536132088384e-05,2.131229410384891e-05,2.131229410384891e-05,3.957997476429084e-05
2592769.6868686886,0.022544341075281128,0.007360171991550904,7.32355422044866e-05,2.1360366476308595e-05,0.00017393441273565573,3.66177711022433e-05,2.1360366476308595e-05,2.1360366476308595e-05,3.966925202743025e-05
2623887.3939393954,0.02259333910837475,0.007376168642311843,7.33947128588243e-05,2.1406791250490426e-05,0.0001743124430397078,3.669735642941215e-05,2.1406791250490426e-05,2.1406791250490426e-05,3.975546946519651e-05
2655005.101010103,0.02264092700028587,0.007391704916714878,7.354930265387939e-05,2.145187994071482e-05,0.00017467959380296357,3.677465132693969e-05,2.145187994071482e-05,2.145187994071482e-05,3.9839205604184674e-05
2686122.8080808097,0.02268818175861575,0.00740713243121023,7.370281026079831e-05,2.1496652992732842e-05,0.00017504417436939602,3.6851405130399155e-05,2.1496652992732842e-05,2.1496652992732842e-05,3.992235555793242e-05
2717240.5151515165,0.02273407396070416,0.007422115104658694,7.385189158864372e-05,2.154013504668775e-05,0.00017539824252302887,3.692594579432186e-05,2.154013504668775e-05,2.154013504668775e-05,4.000310794384869e-05
2748358.222222224,0.02277901800701025,0.007436788228601614,7.399789282190659e-05,2.158271873972276e-05,0.0001757449954520282,3.6998946410953296e-05,2.158271873972276e-05,2.158271873972276e-05,4.008219194519941e-05
2779475.9292929308,0.022823745042516667,0.007451390503864402,7.414318909317813e-05,2.1625096818843623e-05,0.00017609007409629808,3.707159454658906e-05,2.1625096818843623e-05,2.1625096818843623e-05,4.016089409213816e-05
2810593.636363638,0.02287116637707116,0.007466872401393563,7.429723782481156e-05,2.1670027698903373e-05,0.0001764559398339275,3.714861891240578e-05,2.1670027698903373e-05,2.1670027698903373e-05,4.024433715510627e-05
2841711.343434345,0.022918607789916248,0.0074823608539899816,7.445135178099483e-05,2.1714977602790162e-05,0.0001768219604798628,3.7225675890497416e-05,2.1714977602790162e-05,2.1714977602790162e-05,4.032781554803888e-05
2872829.0505050523,0.022962019986927054,0.0074965338668743975,7.459237678481988e-05,2.1756109895572463e-05,0.00017715689486394725,3.729618839240994e-05,2.1756109895572463e-05,2.1756109895572463e-05,4.0404204091777436e-05
2903946.757575759,0.02300305628015068,0.007509931205701603,7.472568363882192e-05,2.179499106132306e-05,0.00017747349864220211,3.736284181941096e-05,2.179499106132306e-05,2.179499106132306e-05,4.047641197102855e-05
2935064.4646464665,0.023041911704809126,0.007522616544666975,7.485190591708433e-05,2.183180589248293e-05,0.00017777327655307533,3.7425952958542164e-05,2.183180589248293e-05,2.183180589248293e-05,4.0544782371754015e-05
2966182.1717171734,0.023079064916659984,0.007534746153083903,7.497259853814828e-05,2.186700790695992e-05,0.00017805992152810222,3.748629926907414e-05,2.186700790695992e-05,2.186700790695992e-05,4.0610157541497e-05
2997299.8787878808,0.02311743542207063,0.007547273177860633,7.509724555085206e-05,2.190336328566519e-05,0.00017835595818327371,3.754862277542603e-05,2.190336328566519e-05,2.190336328566519e-05,4.067767467337821e-05
3028417.5858585876,0.023153398286721198,0.007559014167240325,7.521407131582412e-05,2.1937437467115373e-05,0.00017863341937508236,3.760703565791206e-05,2.1937437467115373e-05,2.1937437467115373e-05,4.074095529607141e-05
3059535.2929292945,0.023185547729234254,0.007569510168234031,7.531850913665701e-05,2.196789849819163e-05,0.00017888145919956047,3.765925456832851e-05,2.196789849819163e-05,2.196789849819163e-05,4.079752578235589e-05
3090653.000000002,0.02321797894737813,0.007580098162029784,7.542386230875406e-05,2.1998626506719938e-05,0.00017913167298329096,3.771193115437703e-05,2.1998626506719938e-05,2.1998626506719938e-05,4.0854592083908464e-05
3090653.000000002,0.02321797894737813,0.007580098162029784,7.542386230875406e-05,2.1998626506719938e-05,0.00017913167298329096,3.771193115437703e-05,2.1998626506719938e-05,2.1998626506719938e-05,4.0854592083908464e-05
3096210.188119098,0.023202231327024113,0.007630886080666516,8.895354499640716e-05,2.273631810773879e-05,0.00018357485159757936,3.8840110320178076e-05,2.2063104419872968e-05,2.236596560338417e-05,4.108436927144964e-05
3101777.368411295,0.02318665711940475,0.007681859229018039,0.000102496167590718,2.3475350506332025e-05,0.0001880328572032101,3.996953567514777e-05,2.2127659683120606e-05,2.273624356998049e-05,4.1316060202794005e-05
3107354.558843161,0.023171181901183287,0.007732992415825165,0.00011605101065287149,2.4215633498233808e-05,0.00019250508401534556,4.110004455449065e-05,2.2192216786790247e-05,2.3109409984435915e-05,4.1549543857751136e-05
3112941.777413548,0.023155742390301454,0.007784264068681461,0.00012961738374239233,2.4957087106970032e-05,0.00019699101112539706,4.2231491766053175e-05,2.2256710712483343e-05,2.3485425126046247e-05,4.1784718880939265e-05
3118539.0421536723,0.02314032677293886,0.00783566939957904,0.00014319475634309902,2.569967978934454e-05,0.00020149051361870816,4.336381508498712e-05,2.2321125141501452e-05,2.3864298185607998e-05,4.202157454187531e-05
3124146.3711271915,0.023124925907352607,0.007887204473949477,0.0001567825992709613,2.6443382198307017e-05,0.00020600348608819656,4.449695598963475e-05,2.238544622067892e-05,2.4246041032971977e-05,4.226010487311948e-05
3129763.7824302223,0.023109521197169927,0.007938862251375078,0.00017038034520221022,2.71881556894397e-05,0.0002105297490604816,4.563083995790132e-05,2.2449651071870107e-05,2.4630656728261616e-05,4.2500287332361994e-05
3135391.2941914257,0.02309402968254098,0.007990614658983862,0.00018398721022259257,2.7933900292091797e-05,0.000215068625348561,4.6765287274447696e-05,2.251365576610658e-05,2.5018087497777927e-05,4.274198618462562e-05
3141028.9245720534,0.023078485764995847,0.008042471919917067,0.00019760278408301066,2.8680626886744612e-05,0.00021962034208395132,4.790030819141866e-05,2.2577487504018458e-05,2.5408386916180313e-05,4.2985272267543e-05
3146676.691766031,0.023063032180172808,0.008094479605924135,0.00021122700079414072,2.9428448648063013e-05,0.00022418596105526636,4.903608825891443e-05,2.2641276061964855e-05,2.580171135439343e-05,4.3230407107251384e-05
3152334.613999979,0.023047701021519408,0.008146647146769525,0.0002248594271984075,3.0177373564893845e-05,0.0002287656892449579,5.017263264451224e-05,2.2705046315148172e-05,2.6198112504508377e-05,4.347745760584129e-05
3158002.709533291,0.023032457830780013,0.008198962224462897,0.00023849940611665393,3.0927346211383825e-05,0.00023335921898245802,5.1309837740416865e-05,2.2768760011873733e-05,2.6597579155845155e-05,4.37263736238039e-05
3163680.9966582097,0.023016895230203335,0.008251290751492352,0.0002521450610265047,3.167795746501127e-05,0.00023796336423662139,5.244699353674496e-05,2.283202549474981e-05,2.699974691797143e-05,4.3976448892525257e-05
3169369.4936998505,0.023001176936054153,0.008303685067748132,0.00026579636261737103,3.242933893885762e-05,0.000242579343867146,5.358431693350399e-05,2.289499213616435e-05,2.7404792658009112e-05,4.422798211045006e-05
