H,He,C,N,O,Ne,Mg,Si,Fe
0.25675683520836623,0.1269733682311867,0.006221583651631769,0.001295227017322515,0.009438642683429161,0.0015610321627353488,0.0005518903258565387,0.0011634371013139293,0.00120719724369608
0.2572175864586462,0.1271576722115652,0.0062287226715147075,0.0012966168652413538,0.009444798680392608,0.0015622860869601697,0.0005526217816543508,0.0011641685571117412,0.0012085556616063023
0.2576788325296632,0.12734174886772817,0.0062357629884202655,0.0012980038469275867,0.009450954000215733,0.001563540329056795,0.0005533534228773822,0.0011649001983347728,0.0012099144238776464
0.2581401853836587,0.12752549260619878,0.006242698646925077,0.0012993893263334006,0.009457102350968085,0.0015647939502125314,0.0005540847018848952,0.0011656314773422858,0.0012112725134630277
0.2586014595802988,0.12770885022814876,0.006249525937045123,0.001300773956149707,0.00946324063767889,0.0015660464952246312,0.0005548153531419533,0.0011663621285993438,0.0012126294372261357
0.25906266095236385,0.12789181781489706,0.006256243281464894,0.0013021577060176792,0.009469368791656045,0.0015672979650168861,0.0005555453771874353,0.0011670921526448258,0.0012139851961677451
0.2595237953894741,0.12807439140529386,0.00626284908675196,0.0013035405451832774,0.009475486743459481,0.0015685483605122948,0.0005562747745597572,0.0011678215500171478,0.0012153397912877714
0.25997840110746,0.128254014179975,0.0062692514658102315,0.0013049030633919276,0.009481508814450658,0.0015697801641681572,0.0005569933266923435,0.001168540102149734,0.0012166742452482887
0.26042410792320997,0.1284297569504469,0.006275419440840829,0.0013062381370673541,0.009487403803782145,0.0015709869717070795,0.0005576972977567149,0.0011692440732141054,0.0012179816200821214
0.2608847825446169,0.12861100844263915,0.006281676936320827,0.0013076171730153016,0.009493486833650455,0.0015722333522121446,0.0005584243530513362,0.0011699711285087268,0.001219331865629275
0.261345414393688,0.12879184992536313,0.006287816430971436,0.001308995171889705,0.00949955938270579,0.0015734786627891505,0.0005591507842212563,0.0011706975596786468,0.0012206809520876982
0.2618060301532067,0.12897229333792043,0.006293839499630331,0.0013103712570834518,0.009505622062509517,0.00157472297492759,0.0005598766329686795,0.00117142340842607,0.0012220289569043411
0.2622667111172343,0.1291523937673884,0.006299756455211394,0.0013117422763232747,0.009511677320668158,0.0015759665484735585,0.0005606020508704943,0.0011721488263278848,0.0012233761615791402
0.2627275519799151,0.12933221752703053,0.0063055799772870095,0.00131310445296719,0.00951772808664606,0.001577209690696242,0.0005613272171670596,0.0011728739926244501,0.0012247228989870473
0.26318859229700586,0.12951178812305175,0.006311314192379157,0.0013144562222798292,0.00952377547502357,0.0015784525200848835,0.0005620522009771006,0.001173598976434491,0.001226069297491409
0.2636498371903061,0.12969110206581833,0.006316957797590012,0.0013157974232727019,0.009529819455184775,0.0015796950367182071,0.0005627770023465394,0.0011743237778039299,0.0012274153571775097
0.2641112918344957,0.12987015582898265,0.006322509476768406,0.0013171278932880004,0.009535859996189174,0.0015809372406749176,0.0005635016213212872,0.0011750483967786778,0.0012287610781306127
0.264572961457608,0.13004894584915228,0.006327967900392184,0.0013184474679836468,0.009541897066768735,0.0015821791320336988,0.0005642260579472427,0.0011757728334046333,0.0012301064604359588
0.2650348513415083,0.1302274685255569,0.006333331725449607,0.0013197559813182226,0.009547930635324987,0.001583420710873215,0.000564950312270294,0.0011764970877276846,0.0012314515041787681
0.26549372421390605,0.13040447072378708,0.006338562981849655,0.001321044204874648,0.00955391838096333,0.001584653270725174,0.00056566930551727,0.0011772160809746606,0.0012327867773517238
0.2659435071760215,0.13057761653806532,0.00634359440158322,0.0013222953146325193,0.009559781180621533,0.0015858605167244524,0.0005663735323501824,0.0011779203078075729,0.0012340946271842753
0.2664058463161594,0.13075522050440105,0.006348663504861182,0.0013235689771130747,0.009565800815721169,0.0015871005028894663,0.0005670968576131073,0.0011786436330704978,0.001235437945529707
0.2668682251207093,0.1309324452162779,0.006353628889771094,0.0013248306007465486,0.009571813127606747,0.0015883395996484134,0.0005678196640558263,0.0011793664395132169,0.0012367803003518996
0.26733030387065587,0.13110912024718852,0.006358482846703294,0.0013260794951611365,0.009577811753914907,0.0015895768199829655,0.0005685413759176483,0.001180088151375039,0.0012381206223809978
0.2677919224587447,0.13128516068816615,0.006363220827504114,0.0013273152364598048,0.009583793577060826,0.001590811688080717,0.0005692617156413368,0.0011808084910987274,0.0012394583961535621
0.26825308926869823,0.13146056223298763,0.006367841283490278,0.0013285376505574134,0.009589758539414201,0.0015920442084138044,0.0005699806858356377,0.0011815274612930282,0.0012407936265144068
0.2687138127486373,0.13163532052427418,0.0063723426503442615,0.001329746561556269,0.009595706582513347,0.001593274385445861,0.0005706982891043375,0.0011822450645617279,0.0012421263182991347
0.26917410141168874,0.13180943115304816,0.0063767233479766604,0.001330941791730047,0.009601637647058311,0.0015945022236320344,0.0005714145280462719,0.0011829613035036625,0.0012434564763341557
0.26963396383659716,0.13198288965828633,0.0063809817803874205,0.001332123161507578,0.009607551672903909,0.0015957277274190015,0.0005721294052553361,0.0011836761807127267,0.0012447841054367037
0.2700934086683427,0.13215569152646894,0.006385116335525922,0.0013332904894565046,0.009613448599052709,0.0015969509012449857,0.0005728429233204935,0.001184389698777884,0.001246109210414853
0.270552444618763,0.1323278321911256,0.0063891253851499205,0.0013344435922667973,0.009619328363647974,0.0015981717495397714,0.0005735550848257852,0.0011851018602831757,0.0012474317960675376
0.27101108046718075,0.13249930703237695,0.006393007284683324,0.0013355822847341387,0.009625190903966525,0.001599390276724722,0.0005742658923503396,0.0011858126678077302,0.0012487518671845672
0.2715247617621072,0.13269074826329713,0.006397206054692597,0.0013368420916028455,0.009631742572400192,0.0016007535522797021,0.0005750611364240781,0.0011866079118814687,0.0012502287490357958
0.2722058935209666,0.13294377750874237,0.0064025558082725495,0.0013384957352448872,0.009640409689157031,0.0016025592021434792,0.000576114432177948,0.0011876612076353386,0.0012521848697215543
0.2726653962312893,0.13311408812360537,0.006406048502868183,0.0013396060432531041,0.009646246410152748,0.0016037763429262257,0.0005768244309678835,0.0011883712064252741,0.001253503438902863
0.27312452747406923,0.1332838076223981,0.006409395845550437,0.0013407105657068123,0.009652066082921117,0.0016049913415274938,0.0005775331801519566,0.001189079955609347,0.0012548196873875702
0.2735832952336246,0.1334529319753272,0.006412595952937905,0.0013418092283296495,0.009657868633084573,0.001606204201717547,0.0005782406819294876,0.001189787457386878,0.0012561336192601278
0.27404170755741714,0.133621457105826,0.006415646922933139,0.0013429019560349368,0.009663653985320734,0.0016074149272600144,0.0005789469384959269,0.0011904937139533174,0.0012574452385978006
0.27449977255663616,0.13378937889014864,0.006418546834558896,0.0013439886729184048,0.009669422063354452,0.0016086235219118985,0.0005796519520428592,0.0011911987275002498,0.001258754549470675
0.27495749840678957,0.13395669315696157,0.006421293747793045,0.0013450693022508634,0.009675172789949806,0.0016098299894235905,0.000580355724758013,0.0011919025002154035,0.001260061555941675
0.2754148933482988,0.13412339568693155,0.006423885703402126,0.0013461437664708086,0.009680906086902037,0.0016110343335388826,0.0005810582588252667,0.0011926050342826572,0.001261366262066575
0.2758719656870968,0.13428948221230952,0.006426320722773529,0.0013472119871769652,0.009686621875029385,0.001612236557994975,0.000581759556424654,0.0011933063318820445,0.0012626686718940083
0.27632872379523443,0.1344549484165119,0.006428596807746313,0.0013482738851207715,0.00969232007416489,0.0016134366665224921,0.0005824596197323723,0.0011940063951897627,0.001263968789465485
0.276785176111489,0.13461978993369805,0.00643071194044064,0.0013493293801987993,0.009698000603148125,0.001614634662845493,0.0005831584509207893,0.0011947052263781798,0.0012652666188154023
0.2772413311419781,0.13478400234834387,0.006432664083085799,0.0013503783914451085,0.009703663379816823,0.0016158305506814798,0.0005838560521584484,0.0011954028276158388,0.0012665621639710548
0.27769719184408614,0.1349476646849775,0.00643447547842605,0.001351421491411784,0.009709310432527724,0.0016170245321735135,0.0005845525413621347,0.0011960993168195252,0.0012678556439207583
0.27804865002715656,0.1350736867571733,0.006435818503236513,0.0013522232782439375,0.009713659668918352,0.0016179446530007855,0.0005850892785113767,0.0011966360539687672,0.001268852441483636
